instance_name,makespan
5056_40j_10m.fjs,456
5058_40j_10m.fjs,460
5059_40j_10m.fjs,428
5101_40j_10m.fjs,455
5102_40j_10m.fjs,446
5103_40j_10m.fjs,477
5105_40j_10m.fjs,492
5106_40j_10m.fjs,480
5107_40j_10m.fjs,438
5109_40j_10m.fjs,438
5110_40j_10m.fjs,438
5111_40j_10m.fjs,449
5113_40j_10m.fjs,458
5114_40j_10m.fjs,426
5115_40j_10m.fjs,435
5117_40j_10m.fjs,451
5118_40j_10m.fjs,473
5120_40j_10m.fjs,443
5121_40j_10m.fjs,430
5122_40j_10m.fjs,475
5124_40j_10m.fjs,421
5125_40j_10m.fjs,438
5126_40j_10m.fjs,452
5128_40j_10m.fjs,464
5129_40j_10m.fjs,458
5130_40j_10m.fjs,456
5132_40j_10m.fjs,450
5133_40j_10m.fjs,432
5135_40j_10m.fjs,427
5136_40j_10m.fjs,538
5137_40j_10m.fjs,430
5139_40j_10m.fjs,459
5140_40j_10m.fjs,437
5141_40j_10m.fjs,477
5143_40j_10m.fjs,459
5144_40j_10m.fjs,448
5145_40j_10m.fjs,497
5147_40j_10m.fjs,467
5148_40j_10m.fjs,453
5150_40j_10m.fjs,430
5151_40j_10m.fjs,428
5152_40j_10m.fjs,457
5154_40j_10m.fjs,421
5155_40j_10m.fjs,455
5156_40j_10m.fjs,435
5158_40j_10m.fjs,426
5159_40j_10m.fjs,438
5200_40j_10m.fjs,438
5202_40j_10m.fjs,426
5203_40j_10m.fjs,441
5204_40j_10m.fjs,443
5206_40j_10m.fjs,460
5207_40j_10m.fjs,470
5208_40j_10m.fjs,464
5210_40j_10m.fjs,443
5211_40j_10m.fjs,440
5213_40j_10m.fjs,490
5214_40j_10m.fjs,463
5215_40j_10m.fjs,448
5217_40j_10m.fjs,455
5218_40j_10m.fjs,436
5219_40j_10m.fjs,432
5221_40j_10m.fjs,459
5222_40j_10m.fjs,423
5223_40j_10m.fjs,462
5225_40j_10m.fjs,451
5226_40j_10m.fjs,462
5227_40j_10m.fjs,448
5229_40j_10m.fjs,457
5230_40j_10m.fjs,449
5232_40j_10m.fjs,438
5233_40j_10m.fjs,416
5234_40j_10m.fjs,414
5236_40j_10m.fjs,468
5237_40j_10m.fjs,431
5238_40j_10m.fjs,460
5240_40j_10m.fjs,467
5241_40j_10m.fjs,453
5242_40j_10m.fjs,407
5244_40j_10m.fjs,406
5245_40j_10m.fjs,437
5246_40j_10m.fjs,423
5248_40j_10m.fjs,413
5249_40j_10m.fjs,435
5250_40j_10m.fjs,428
5252_40j_10m.fjs,416
5253_40j_10m.fjs,420
5254_40j_10m.fjs,462
5256_40j_10m.fjs,453
5257_40j_10m.fjs,496
5258_40j_10m.fjs,418
5300_40j_10m.fjs,416
5301_40j_10m.fjs,439
5303_40j_10m.fjs,448
5304_40j_10m.fjs,442
5305_40j_10m.fjs,436
5307_40j_10m.fjs,443
5308_40j_10m.fjs,431
5309_40j_10m.fjs,443
5311_40j_10m.fjs,438
