instance_name,makespan
15x10+mix_001.fjs,565
15x10+mix_002.fjs,636
15x10+mix_003.fjs,516
15x10+mix_004.fjs,547
15x10+mix_005.fjs,585
15x10+mix_006.fjs,693
15x10+mix_007.fjs,624
15x10+mix_008.fjs,609
15x10+mix_009.fjs,637
15x10+mix_010.fjs,656
15x10+mix_011.fjs,666
15x10+mix_012.fjs,527
15x10+mix_013.fjs,660
15x10+mix_014.fjs,630
15x10+mix_015.fjs,642
15x10+mix_016.fjs,733
15x10+mix_017.fjs,572
15x10+mix_018.fjs,459
15x10+mix_019.fjs,560
15x10+mix_020.fjs,674
15x10+mix_021.fjs,545
15x10+mix_022.fjs,600
15x10+mix_023.fjs,732
15x10+mix_024.fjs,589
15x10+mix_025.fjs,532
15x10+mix_026.fjs,535
15x10+mix_027.fjs,489
15x10+mix_028.fjs,603
15x10+mix_029.fjs,810
15x10+mix_030.fjs,625
15x10+mix_031.fjs,508
15x10+mix_032.fjs,747
15x10+mix_033.fjs,520
15x10+mix_034.fjs,669
15x10+mix_035.fjs,719
15x10+mix_036.fjs,489
15x10+mix_037.fjs,538
15x10+mix_038.fjs,526
15x10+mix_039.fjs,683
15x10+mix_040.fjs,559
15x10+mix_041.fjs,590
15x10+mix_042.fjs,523
15x10+mix_043.fjs,592
15x10+mix_044.fjs,662
15x10+mix_045.fjs,535
15x10+mix_046.fjs,481
15x10+mix_047.fjs,541
15x10+mix_048.fjs,591
15x10+mix_049.fjs,486
15x10+mix_050.fjs,671
15x10+mix_051.fjs,568
15x10+mix_052.fjs,483
15x10+mix_053.fjs,512
15x10+mix_054.fjs,652
15x10+mix_055.fjs,569
15x10+mix_056.fjs,498
15x10+mix_057.fjs,623
15x10+mix_058.fjs,604
15x10+mix_059.fjs,555
15x10+mix_060.fjs,731
15x10+mix_061.fjs,662
15x10+mix_062.fjs,551
15x10+mix_063.fjs,536
15x10+mix_064.fjs,536
15x10+mix_065.fjs,656
15x10+mix_066.fjs,512
15x10+mix_067.fjs,647
15x10+mix_068.fjs,610
15x10+mix_069.fjs,572
15x10+mix_070.fjs,549
15x10+mix_071.fjs,496
15x10+mix_072.fjs,542
15x10+mix_073.fjs,488
15x10+mix_074.fjs,692
15x10+mix_075.fjs,558
15x10+mix_076.fjs,618
15x10+mix_077.fjs,666
15x10+mix_078.fjs,630
15x10+mix_079.fjs,588
15x10+mix_080.fjs,766
15x10+mix_081.fjs,483
15x10+mix_082.fjs,457
15x10+mix_083.fjs,592
15x10+mix_084.fjs,516
15x10+mix_085.fjs,605
15x10+mix_086.fjs,552
15x10+mix_087.fjs,522
15x10+mix_088.fjs,433
15x10+mix_089.fjs,668
15x10+mix_090.fjs,628
15x10+mix_091.fjs,528
15x10+mix_092.fjs,602
15x10+mix_093.fjs,623
15x10+mix_094.fjs,508
15x10+mix_095.fjs,641
15x10+mix_096.fjs,649
15x10+mix_097.fjs,586
15x10+mix_098.fjs,539
15x10+mix_099.fjs,524
15x10+mix_100.fjs,585
