instance_name,makespan,runtime_seconds,generations_completed
100j_10m_024.fjs,1259,2008.8,19
100j_10m_004.fjs,1135,2013.5,23
100j_10m_057.fjs,1163,2013.8,21
100j_10m_011.fjs,1148,2020.4,21
100j_10m_006.fjs,1089,2021.0,22
100j_10m_005.fjs,1147,2025.3,20
100j_10m_075.fjs,1215,2025.9,19
100j_10m_098.fjs,1148,2026.6,20
100j_10m_047.fjs,1173,2026.7,19
100j_10m_070.fjs,1138,2030.2,20
100j_10m_003.fjs,1234,2038.4,17
100j_10m_033.fjs,1125,2038.4,21
100j_10m_090.fjs,1139,2039.9,21
100j_10m_040.fjs,1202,2040.8,19
100j_10m_025.fjs,1164,2041.2,18
100j_10m_023.fjs,1154,2042.1,18
100j_10m_085.fjs,1188,2042.3,19
100j_10m_067.fjs,1185,2043.1,19
100j_10m_039.fjs,1154,2043.1,18
100j_10m_076.fjs,1214,2044.0,18
100j_10m_038.fjs,1182,2045.6,20
100j_10m_081.fjs,1193,2048.5,19
100j_10m_088.fjs,1129,2050.1,19
100j_10m_046.fjs,1155,2050.7,20
100j_10m_059.fjs,1180,2051.5,20
100j_10m_008.fjs,1187,2052.0,20
100j_10m_069.fjs,1135,2052.9,19
100j_10m_095.fjs,1218,2053.3,18
100j_10m_068.fjs,1164,2054.7,19
100j_10m_061.fjs,1146,2056.3,18
100j_10m_032.fjs,1210,2057.6,17
100j_10m_073.fjs,1172,2059.8,16
100j_10m_007.fjs,1169,2060.9,20
100j_10m_043.fjs,1176,2061.5,18
100j_10m_028.fjs,1187,2061.7,17
100j_10m_020.fjs,1249,2062.5,18
100j_10m_074.fjs,1154,2062.9,20
100j_10m_093.fjs,1126,2063.9,20
100j_10m_018.fjs,1211,2064.7,18
100j_10m_077.fjs,1144,2066.3,19
100j_10m_041.fjs,1181,2069.7,17
100j_10m_037.fjs,1116,2070.9,18
100j_10m_027.fjs,1170,2074.3,21
100j_10m_042.fjs,1185,2074.8,17
100j_10m_019.fjs,1184,2074.8,16
100j_10m_045.fjs,1176,2075.7,19
100j_10m_009.fjs,1247,2076.7,19
100j_10m_055.fjs,1148,2077.5,20
100j_10m_035.fjs,1162,2077.8,19
100j_10m_058.fjs,1183,2077.9,19
100j_10m_049.fjs,1203,2078.3,18
100j_10m_084.fjs,1214,2079.4,15
100j_10m_080.fjs,1157,2079.6,21
100j_10m_089.fjs,1189,2079.9,20
100j_10m_060.fjs,1204,2080.5,20
100j_10m_050.fjs,1164,2080.7,20
100j_10m_087.fjs,1218,2082.8,19
100j_10m_094.fjs,1152,2084.3,19
100j_10m_036.fjs,1191,2086.8,20
100j_10m_083.fjs,1130,2087.2,20
100j_10m_013.fjs,1169,2087.5,19
100j_10m_017.fjs,1231,2087.9,19
100j_10m_096.fjs,1158,2088.3,19
100j_10m_051.fjs,1130,2088.4,20
100j_10m_071.fjs,1212,2089.0,17
100j_10m_099.fjs,1143,2089.1,19
100j_10m_016.fjs,1143,2089.6,20
100j_10m_100.fjs,1168,2090.1,20
100j_10m_044.fjs,1205,2090.3,17
100j_10m_001.fjs,1212,2092.7,18
100j_10m_065.fjs,1098,2093.0,20
100j_10m_086.fjs,1157,2093.6,21
100j_10m_002.fjs,1107,2093.7,18
100j_10m_014.fjs,1163,2094.2,20
100j_10m_026.fjs,1185,2095.5,20
100j_10m_034.fjs,1195,2096.1,17
100j_10m_022.fjs,1218,2097.1,19
100j_10m_072.fjs,1148,2098.5,20
100j_10m_056.fjs,1166,2098.7,19
100j_10m_015.fjs,1199,2099.0,19
100j_10m_053.fjs,1256,2099.0,18
100j_10m_021.fjs,1201,2099.2,19
100j_10m_064.fjs,1204,2101.1,19
100j_10m_052.fjs,1147,2101.4,20
100j_10m_048.fjs,1203,2101.4,18
100j_10m_030.fjs,1175,2105.2,19
100j_10m_031.fjs,1170,2105.5,20
100j_10m_062.fjs,1177,2106.7,17
100j_10m_079.fjs,1155,2107.1,17
100j_10m_054.fjs,1199,2107.4,19
100j_10m_078.fjs,1176,2111.2,19
100j_10m_092.fjs,1197,2112.0,17
100j_10m_010.fjs,1209,2112.0,16
100j_10m_063.fjs,1214,2114.2,19
100j_10m_091.fjs,1236,2115.7,15
100j_10m_097.fjs,1177,2121.9,17
100j_10m_012.fjs,1229,2122.1,17
100j_10m_066.fjs,1197,2136.4,18
100j_10m_082.fjs,1224,2138.1,17
100j_10m_029.fjs,1267,2150.9,17
