instance_name,makespan
5056_40j_10m.fjs,404
5058_40j_10m.fjs,397
5059_40j_10m.fjs,393
5101_40j_10m.fjs,402
5102_40j_10m.fjs,403
5103_40j_10m.fjs,396
5105_40j_10m.fjs,408
5106_40j_10m.fjs,426
5107_40j_10m.fjs,399
5109_40j_10m.fjs,391
5110_40j_10m.fjs,395
5111_40j_10m.fjs,424
5113_40j_10m.fjs,415
5114_40j_10m.fjs,398
5115_40j_10m.fjs,405
5117_40j_10m.fjs,406
5118_40j_10m.fjs,389
5120_40j_10m.fjs,390
5121_40j_10m.fjs,400
5122_40j_10m.fjs,387
5124_40j_10m.fjs,367
5125_40j_10m.fjs,384
5126_40j_10m.fjs,402
5128_40j_10m.fjs,406
5129_40j_10m.fjs,405
5130_40j_10m.fjs,396
5132_40j_10m.fjs,414
5133_40j_10m.fjs,379
5135_40j_10m.fjs,386
5136_40j_10m.fjs,432
5137_40j_10m.fjs,399
5139_40j_10m.fjs,411
5140_40j_10m.fjs,407
5141_40j_10m.fjs,405
5143_40j_10m.fjs,412
5144_40j_10m.fjs,400
5145_40j_10m.fjs,413
5147_40j_10m.fjs,414
5148_40j_10m.fjs,403
5150_40j_10m.fjs,399
5151_40j_10m.fjs,388
5152_40j_10m.fjs,399
5154_40j_10m.fjs,404
5155_40j_10m.fjs,413
5156_40j_10m.fjs,394
5158_40j_10m.fjs,392
5159_40j_10m.fjs,396
5200_40j_10m.fjs,374
5202_40j_10m.fjs,397
5203_40j_10m.fjs,397
5204_40j_10m.fjs,395
5206_40j_10m.fjs,434
5207_40j_10m.fjs,413
5208_40j_10m.fjs,410
5210_40j_10m.fjs,411
5211_40j_10m.fjs,419
5213_40j_10m.fjs,426
5214_40j_10m.fjs,404
5215_40j_10m.fjs,407
5217_40j_10m.fjs,406
5218_40j_10m.fjs,401
5219_40j_10m.fjs,392
5221_40j_10m.fjs,419
5222_40j_10m.fjs,396
5223_40j_10m.fjs,406
5225_40j_10m.fjs,399
5226_40j_10m.fjs,401
5227_40j_10m.fjs,417
5229_40j_10m.fjs,412
5230_40j_10m.fjs,401
5232_40j_10m.fjs,392
5233_40j_10m.fjs,400
5234_40j_10m.fjs,388
5236_40j_10m.fjs,393
5237_40j_10m.fjs,401
5238_40j_10m.fjs,388
5240_40j_10m.fjs,390
5241_40j_10m.fjs,413
5242_40j_10m.fjs,392
5244_40j_10m.fjs,385
5245_40j_10m.fjs,397
5246_40j_10m.fjs,375
5248_40j_10m.fjs,377
5249_40j_10m.fjs,386
5250_40j_10m.fjs,406
5252_40j_10m.fjs,383
5253_40j_10m.fjs,382
5254_40j_10m.fjs,381
5256_40j_10m.fjs,397
5257_40j_10m.fjs,394
5258_40j_10m.fjs,390
5300_40j_10m.fjs,384
5301_40j_10m.fjs,407
5303_40j_10m.fjs,405
5304_40j_10m.fjs,402
5305_40j_10m.fjs,394
5307_40j_10m.fjs,401
5308_40j_10m.fjs,392
5309_40j_10m.fjs,392
5311_40j_10m.fjs,402
