instance_name,makespan
20x10+mix_001.fjs,611
20x10+mix_002.fjs,699
20x10+mix_003.fjs,499
20x10+mix_004.fjs,503
20x10+mix_005.fjs,603
20x10+mix_006.fjs,658
20x10+mix_007.fjs,635
20x10+mix_008.fjs,574
20x10+mix_009.fjs,559
20x10+mix_010.fjs,593
20x10+mix_011.fjs,580
20x10+mix_012.fjs,663
20x10+mix_013.fjs,638
20x10+mix_014.fjs,559
20x10+mix_015.fjs,583
20x10+mix_016.fjs,661
20x10+mix_017.fjs,593
20x10+mix_018.fjs,586
20x10+mix_019.fjs,648
20x10+mix_020.fjs,644
20x10+mix_021.fjs,557
20x10+mix_022.fjs,680
20x10+mix_023.fjs,638
20x10+mix_024.fjs,547
20x10+mix_025.fjs,571
20x10+mix_026.fjs,743
20x10+mix_027.fjs,715
20x10+mix_028.fjs,658
20x10+mix_029.fjs,575
20x10+mix_030.fjs,646
20x10+mix_031.fjs,642
20x10+mix_032.fjs,561
20x10+mix_033.fjs,757
20x10+mix_034.fjs,595
20x10+mix_035.fjs,660
20x10+mix_036.fjs,650
20x10+mix_037.fjs,588
20x10+mix_038.fjs,660
20x10+mix_039.fjs,678
20x10+mix_040.fjs,543
20x10+mix_041.fjs,570
20x10+mix_042.fjs,589
20x10+mix_043.fjs,596
20x10+mix_044.fjs,681
20x10+mix_045.fjs,520
20x10+mix_046.fjs,559
20x10+mix_047.fjs,482
20x10+mix_048.fjs,561
20x10+mix_049.fjs,664
20x10+mix_050.fjs,607
20x10+mix_051.fjs,573
20x10+mix_052.fjs,694
20x10+mix_053.fjs,611
20x10+mix_054.fjs,559
20x10+mix_055.fjs,515
20x10+mix_056.fjs,624
20x10+mix_057.fjs,517
20x10+mix_058.fjs,624
20x10+mix_059.fjs,643
20x10+mix_060.fjs,572
20x10+mix_061.fjs,662
20x10+mix_062.fjs,604
20x10+mix_063.fjs,634
20x10+mix_064.fjs,610
20x10+mix_065.fjs,567
20x10+mix_066.fjs,688
20x10+mix_067.fjs,571
20x10+mix_068.fjs,667
20x10+mix_069.fjs,589
20x10+mix_070.fjs,646
20x10+mix_071.fjs,637
20x10+mix_072.fjs,525
20x10+mix_073.fjs,624
20x10+mix_074.fjs,595
20x10+mix_075.fjs,581
20x10+mix_076.fjs,573
20x10+mix_077.fjs,522
20x10+mix_078.fjs,626
20x10+mix_079.fjs,616
20x10+mix_080.fjs,538
20x10+mix_081.fjs,576
20x10+mix_082.fjs,603
20x10+mix_083.fjs,541
20x10+mix_084.fjs,618
20x10+mix_085.fjs,607
20x10+mix_086.fjs,707
20x10+mix_087.fjs,630
20x10+mix_088.fjs,596
20x10+mix_089.fjs,555
20x10+mix_090.fjs,644
20x10+mix_091.fjs,572
20x10+mix_092.fjs,592
20x10+mix_093.fjs,613
20x10+mix_094.fjs,616
20x10+mix_095.fjs,694
20x10+mix_096.fjs,664
20x10+mix_097.fjs,595
20x10+mix_098.fjs,636
20x10+mix_099.fjs,553
20x10+mix_100.fjs,547
