instance_name,makespan
3128_10j_5m.fjs,125
3129_10j_5m.fjs,113
3130_10j_5m.fjs,112
3131_10j_5m.fjs,122
3133_10j_5m.fjs,107
3134_10j_5m.fjs,113
3135_10j_5m.fjs,109
3136_10j_5m.fjs,118
3137_10j_5m.fjs,104
3138_10j_5m.fjs,103
3139_10j_5m.fjs,106
3140_10j_5m.fjs,97
3141_10j_5m.fjs,120
3142_10j_5m.fjs,117
3144_10j_5m.fjs,126
3145_10j_5m.fjs,93
3146_10j_5m.fjs,145
3147_10j_5m.fjs,92
3148_10j_5m.fjs,110
3149_10j_5m.fjs,105
3150_10j_5m.fjs,106
3151_10j_5m.fjs,125
3152_10j_5m.fjs,114
3153_10j_5m.fjs,127
3155_10j_5m.fjs,117
3156_10j_5m.fjs,116
3157_10j_5m.fjs,119
3158_10j_5m.fjs,103
3159_10j_5m.fjs,114
3200_10j_5m.fjs,109
3201_10j_5m.fjs,114
3202_10j_5m.fjs,119
3203_10j_5m.fjs,108
3205_10j_5m.fjs,108
3206_10j_5m.fjs,110
3207_10j_5m.fjs,106
3208_10j_5m.fjs,99
3209_10j_5m.fjs,101
3210_10j_5m.fjs,122
3211_10j_5m.fjs,103
3212_10j_5m.fjs,95
3213_10j_5m.fjs,110
3214_10j_5m.fjs,113
3216_10j_5m.fjs,106
3217_10j_5m.fjs,103
3218_10j_5m.fjs,97
3219_10j_5m.fjs,116
3220_10j_5m.fjs,98
3221_10j_5m.fjs,104
3222_10j_5m.fjs,104
3223_10j_5m.fjs,110
3225_10j_5m.fjs,119
3226_10j_5m.fjs,99
3227_10j_5m.fjs,106
3228_10j_5m.fjs,123
3229_10j_5m.fjs,89
3230_10j_5m.fjs,109
3231_10j_5m.fjs,108
3232_10j_5m.fjs,127
3233_10j_5m.fjs,121
3234_10j_5m.fjs,87
3235_10j_5m.fjs,102
3237_10j_5m.fjs,113
3238_10j_5m.fjs,121
3239_10j_5m.fjs,106
3240_10j_5m.fjs,107
3241_10j_5m.fjs,132
3242_10j_5m.fjs,110
3243_10j_5m.fjs,101
3244_10j_5m.fjs,95
3245_10j_5m.fjs,125
3246_10j_5m.fjs,112
3248_10j_5m.fjs,121
3249_10j_5m.fjs,123
3250_10j_5m.fjs,128
3251_10j_5m.fjs,128
3252_10j_5m.fjs,107
3253_10j_5m.fjs,103
3254_10j_5m.fjs,122
3255_10j_5m.fjs,133
3256_10j_5m.fjs,99
3257_10j_5m.fjs,99
3259_10j_5m.fjs,94
3300_10j_5m.fjs,106
3301_10j_5m.fjs,102
3302_10j_5m.fjs,100
3303_10j_5m.fjs,97
3304_10j_5m.fjs,92
3305_10j_5m.fjs,98
3306_10j_5m.fjs,89
3307_10j_5m.fjs,106
3308_10j_5m.fjs,112
3309_10j_5m.fjs,104
3311_10j_5m.fjs,120
3312_10j_5m.fjs,110
3313_10j_5m.fjs,98
3314_10j_5m.fjs,105
3315_10j_5m.fjs,128
3316_10j_5m.fjs,97
3317_10j_5m.fjs,128
