instance_name,makespan
20x5+mix_001.fjs,699
20x5+mix_002.fjs,712
20x5+mix_003.fjs,675
20x5+mix_004.fjs,725
20x5+mix_005.fjs,754
20x5+mix_006.fjs,770
20x5+mix_007.fjs,727
20x5+mix_008.fjs,634
20x5+mix_009.fjs,692
20x5+mix_010.fjs,710
20x5+mix_011.fjs,731
20x5+mix_012.fjs,664
20x5+mix_013.fjs,671
20x5+mix_014.fjs,634
20x5+mix_015.fjs,716
20x5+mix_016.fjs,584
20x5+mix_017.fjs,721
20x5+mix_018.fjs,625
20x5+mix_019.fjs,719
20x5+mix_020.fjs,784
20x5+mix_021.fjs,786
20x5+mix_022.fjs,758
20x5+mix_023.fjs,762
20x5+mix_024.fjs,736
20x5+mix_025.fjs,828
20x5+mix_026.fjs,724
20x5+mix_027.fjs,744
20x5+mix_028.fjs,725
20x5+mix_029.fjs,763
20x5+mix_030.fjs,678
20x5+mix_031.fjs,635
20x5+mix_032.fjs,612
20x5+mix_033.fjs,772
20x5+mix_034.fjs,682
20x5+mix_035.fjs,669
20x5+mix_036.fjs,730
20x5+mix_037.fjs,731
20x5+mix_038.fjs,593
20x5+mix_039.fjs,731
20x5+mix_040.fjs,709
20x5+mix_041.fjs,750
20x5+mix_042.fjs,751
20x5+mix_043.fjs,817
20x5+mix_044.fjs,687
20x5+mix_045.fjs,771
20x5+mix_046.fjs,683
20x5+mix_047.fjs,729
20x5+mix_048.fjs,720
20x5+mix_049.fjs,661
20x5+mix_050.fjs,843
20x5+mix_051.fjs,676
20x5+mix_052.fjs,756
20x5+mix_053.fjs,806
20x5+mix_054.fjs,727
20x5+mix_055.fjs,698
20x5+mix_056.fjs,633
20x5+mix_057.fjs,729
20x5+mix_058.fjs,688
20x5+mix_059.fjs,690
20x5+mix_060.fjs,717
20x5+mix_061.fjs,735
20x5+mix_062.fjs,634
20x5+mix_063.fjs,734
20x5+mix_064.fjs,707
20x5+mix_065.fjs,617
20x5+mix_066.fjs,830
20x5+mix_067.fjs,717
20x5+mix_068.fjs,761
20x5+mix_069.fjs,714
20x5+mix_070.fjs,741
20x5+mix_071.fjs,695
20x5+mix_072.fjs,804
20x5+mix_073.fjs,696
20x5+mix_074.fjs,826
20x5+mix_075.fjs,691
20x5+mix_076.fjs,765
20x5+mix_077.fjs,783
20x5+mix_078.fjs,791
20x5+mix_079.fjs,598
20x5+mix_080.fjs,516
20x5+mix_081.fjs,659
20x5+mix_082.fjs,757
20x5+mix_083.fjs,753
20x5+mix_084.fjs,690
20x5+mix_085.fjs,787
20x5+mix_086.fjs,753
20x5+mix_087.fjs,814
20x5+mix_088.fjs,757
20x5+mix_089.fjs,628
20x5+mix_090.fjs,656
20x5+mix_091.fjs,721
20x5+mix_092.fjs,686
20x5+mix_093.fjs,780
20x5+mix_094.fjs,709
20x5+mix_095.fjs,566
20x5+mix_096.fjs,697
20x5+mix_097.fjs,755
20x5+mix_098.fjs,709
20x5+mix_099.fjs,705
20x5+mix_100.fjs,757
