instance_name,makespan
3128_10j_5m.fjs,175
3129_10j_5m.fjs,158
3130_10j_5m.fjs,200
3131_10j_5m.fjs,164
3133_10j_5m.fjs,175
3134_10j_5m.fjs,136
3135_10j_5m.fjs,114
3136_10j_5m.fjs,149
3137_10j_5m.fjs,113
3138_10j_5m.fjs,162
3139_10j_5m.fjs,141
3140_10j_5m.fjs,137
3141_10j_5m.fjs,170
3142_10j_5m.fjs,153
3144_10j_5m.fjs,141
3145_10j_5m.fjs,108
3146_10j_5m.fjs,155
3147_10j_5m.fjs,109
3148_10j_5m.fjs,150
3149_10j_5m.fjs,139
3150_10j_5m.fjs,143
3151_10j_5m.fjs,165
3152_10j_5m.fjs,166
3153_10j_5m.fjs,173
3155_10j_5m.fjs,159
3156_10j_5m.fjs,150
3157_10j_5m.fjs,131
3158_10j_5m.fjs,114
3159_10j_5m.fjs,155
3200_10j_5m.fjs,107
3201_10j_5m.fjs,150
3202_10j_5m.fjs,168
3203_10j_5m.fjs,137
3205_10j_5m.fjs,122
3206_10j_5m.fjs,164
3207_10j_5m.fjs,123
3208_10j_5m.fjs,125
3209_10j_5m.fjs,134
3210_10j_5m.fjs,139
3211_10j_5m.fjs,150
3212_10j_5m.fjs,108
3213_10j_5m.fjs,126
3214_10j_5m.fjs,130
3216_10j_5m.fjs,151
3217_10j_5m.fjs,113
3218_10j_5m.fjs,148
3219_10j_5m.fjs,122
3220_10j_5m.fjs,125
3221_10j_5m.fjs,119
3222_10j_5m.fjs,154
3223_10j_5m.fjs,175
3225_10j_5m.fjs,219
3226_10j_5m.fjs,102
3227_10j_5m.fjs,165
3228_10j_5m.fjs,138
3229_10j_5m.fjs,111
3230_10j_5m.fjs,145
3231_10j_5m.fjs,148
3232_10j_5m.fjs,145
3233_10j_5m.fjs,161
3234_10j_5m.fjs,104
3235_10j_5m.fjs,193
3237_10j_5m.fjs,144
3238_10j_5m.fjs,132
3239_10j_5m.fjs,178
3240_10j_5m.fjs,137
3241_10j_5m.fjs,138
3242_10j_5m.fjs,131
3243_10j_5m.fjs,131
3244_10j_5m.fjs,105
3245_10j_5m.fjs,134
3246_10j_5m.fjs,138
3248_10j_5m.fjs,157
3249_10j_5m.fjs,150
3250_10j_5m.fjs,146
3251_10j_5m.fjs,167
3252_10j_5m.fjs,139
3253_10j_5m.fjs,144
3254_10j_5m.fjs,165
3255_10j_5m.fjs,172
3256_10j_5m.fjs,111
3257_10j_5m.fjs,162
3259_10j_5m.fjs,138
3300_10j_5m.fjs,123
3301_10j_5m.fjs,115
3302_10j_5m.fjs,179
3303_10j_5m.fjs,135
3304_10j_5m.fjs,113
3305_10j_5m.fjs,135
3306_10j_5m.fjs,110
3307_10j_5m.fjs,116
3308_10j_5m.fjs,137
3309_10j_5m.fjs,113
3311_10j_5m.fjs,171
3312_10j_5m.fjs,115
3313_10j_5m.fjs,168
3314_10j_5m.fjs,111
3315_10j_5m.fjs,118
3316_10j_5m.fjs,145
3317_10j_5m.fjs,186
