instance_name,makespan
30x10+mix_001.fjs,1003
30x10+mix_002.fjs,862
30x10+mix_003.fjs,854
30x10+mix_004.fjs,1026
30x10+mix_005.fjs,1208
30x10+mix_006.fjs,1135
30x10+mix_007.fjs,865
30x10+mix_008.fjs,935
30x10+mix_009.fjs,1346
30x10+mix_010.fjs,990
30x10+mix_011.fjs,934
30x10+mix_012.fjs,976
30x10+mix_013.fjs,856
30x10+mix_014.fjs,982
30x10+mix_015.fjs,842
30x10+mix_016.fjs,1002
30x10+mix_017.fjs,1007
30x10+mix_018.fjs,964
30x10+mix_019.fjs,1067
30x10+mix_020.fjs,836
30x10+mix_021.fjs,1012
30x10+mix_022.fjs,886
30x10+mix_023.fjs,1034
30x10+mix_024.fjs,928
30x10+mix_025.fjs,1226
30x10+mix_026.fjs,871
30x10+mix_027.fjs,1017
30x10+mix_028.fjs,864
30x10+mix_029.fjs,1043
30x10+mix_030.fjs,1128
30x10+mix_031.fjs,897
30x10+mix_032.fjs,1149
30x10+mix_033.fjs,1044
30x10+mix_034.fjs,997
30x10+mix_035.fjs,982
30x10+mix_036.fjs,926
30x10+mix_037.fjs,940
30x10+mix_038.fjs,917
30x10+mix_039.fjs,1148
30x10+mix_040.fjs,958
30x10+mix_041.fjs,942
30x10+mix_042.fjs,958
30x10+mix_043.fjs,1014
30x10+mix_044.fjs,1200
30x10+mix_045.fjs,1006
30x10+mix_046.fjs,964
30x10+mix_047.fjs,1099
30x10+mix_048.fjs,800
30x10+mix_049.fjs,874
30x10+mix_050.fjs,1072
30x10+mix_051.fjs,843
30x10+mix_052.fjs,994
30x10+mix_053.fjs,926
30x10+mix_054.fjs,896
30x10+mix_055.fjs,850
30x10+mix_056.fjs,894
30x10+mix_057.fjs,1106
30x10+mix_058.fjs,871
30x10+mix_059.fjs,1013
30x10+mix_060.fjs,1186
30x10+mix_061.fjs,757
30x10+mix_062.fjs,988
30x10+mix_063.fjs,1087
30x10+mix_064.fjs,942
30x10+mix_065.fjs,1040
30x10+mix_066.fjs,975
30x10+mix_067.fjs,902
30x10+mix_068.fjs,879
30x10+mix_069.fjs,890
30x10+mix_070.fjs,845
30x10+mix_071.fjs,996
30x10+mix_072.fjs,1127
30x10+mix_073.fjs,865
30x10+mix_074.fjs,965
30x10+mix_075.fjs,967
30x10+mix_076.fjs,977
30x10+mix_077.fjs,1041
30x10+mix_078.fjs,862
30x10+mix_079.fjs,956
30x10+mix_080.fjs,907
30x10+mix_081.fjs,820
30x10+mix_082.fjs,963
30x10+mix_083.fjs,839
30x10+mix_084.fjs,914
30x10+mix_085.fjs,1363
30x10+mix_086.fjs,1087
30x10+mix_087.fjs,970
30x10+mix_088.fjs,829
30x10+mix_089.fjs,733
30x10+mix_090.fjs,1075
30x10+mix_091.fjs,997
30x10+mix_092.fjs,1235
30x10+mix_093.fjs,1230
30x10+mix_094.fjs,927
30x10+mix_095.fjs,799
30x10+mix_096.fjs,788
30x10+mix_097.fjs,956
30x10+mix_098.fjs,941
30x10+mix_099.fjs,908
30x10+mix_100.fjs,1196
