instance_name,makespan,runtime_seconds,status,lower_bound
100j_10m_038.fjs,935.0,1801.8,FEASIBLE,-1
instance_name,makespan,runtime_seconds,status,lower_bound
100j_10m_088.fjs,927.0,1801.8,FEASIBLE,-1
100j_10m_022.fjs,955.0,1801.9,FEASIBLE,-1
100j_10m_071.fjs,942.0,1801.9,FEASIBLE,-1
100j_10m_055.fjs,929.0,1801.9,FEASIBLE,-1
100j_10m_014.fjs,925.0,1802.0,FEASIBLE,-1
100j_10m_091.fjs,988.0,1802.0,FEASIBLE,-1
100j_10m_049.fjs,975.0,1802.0,FEASIBLE,-1
100j_10m_100.fjs,940.0,1802.8,FEASIBLE,-1
